series,date,bin_start,lexicon,value
histogram,,-0.6,finvader_lite,775.0
histogram,,-0.5666666666666667,finvader_lite,531.0
histogram,,-0.5333333333333333,finvader_lite,594.0
histogram,,-0.5,finvader_lite,774.0
histogram,,-0.4666666666666667,finvader_lite,1432.0
histogram,,-0.43333333333333335,finvader_lite,2301.0
histogram,,-0.4,finvader_lite,1100.0
histogram,,-0.3666666666666667,finvader_lite,1480.0
histogram,,-0.33333333333333337,finvader_lite,856.0
histogram,,-0.30000000000000004,finvader_lite,2748.0
histogram,,-0.2666666666666667,finvader_lite,447.0
histogram,,-0.2333333333333334,finvader_lite,1257.0
histogram,,-0.19999999999999996,finvader_lite,364.0
histogram,,-0.16666666666666663,finvader_lite,627.0
histogram,,-0.1333333333333333,finvader_lite,1689.0
histogram,,-0.09999999999999998,finvader_lite,327.0
histogram,,-0.06666666666666665,finvader_lite,470.0
histogram,,-0.033333333333333326,finvader_lite,374.0
histogram,,0.0,finvader_lite,70346.0
histogram,,0.033333333333333215,finvader_lite,504.0
histogram,,0.06666666666666665,finvader_lite,648.0
histogram,,0.10000000000000009,finvader_lite,1158.0
histogram,,0.1333333333333333,finvader_lite,554.0
histogram,,0.16666666666666674,finvader_lite,1264.0
histogram,,0.19999999999999996,finvader_lite,5808.0
histogram,,0.2333333333333334,finvader_lite,1988.0
histogram,,0.2666666666666666,finvader_lite,7348.0
histogram,,0.30000000000000004,finvader_lite,1080.0
histogram,,0.33333333333333326,finvader_lite,3992.0
histogram,,0.3666666666666667,finvader_lite,2344.0
histogram,,0.3999999999999999,finvader_lite,4137.0
histogram,,0.43333333333333335,finvader_lite,5918.0
histogram,,0.46666666666666656,finvader_lite,3153.0
histogram,,0.5,finvader_lite,2874.0
histogram,,0.5333333333333332,finvader_lite,1331.0
histogram,,0.5666666666666667,finvader_lite,2106.0
histogram,,0.6000000000000001,finvader_lite,1509.0
histogram,,0.6333333333333333,finvader_lite,3219.0
histogram,,0.6666666666666667,finvader_lite,1020.0
histogram,,0.7,finvader_lite,1093.0
histogram,,0.7333333333333334,finvader_lite,1026.0
histogram,,0.7666666666666666,finvader_lite,762.0
histogram,,0.8,finvader_lite,451.0
histogram,,0.8333333333333333,finvader_lite,309.0
histogram,,0.8666666666666667,finvader_lite,117.0
histogram,,0.8999999999999999,finvader_lite,65.0
histogram,,0.9333333333333333,finvader_lite,28.0
histogram,,0.9666666666666666,finvader_lite,0.0
neutral,,,finvader_lite,0.4820071372143071
